Gender,Years of Experience,Salary
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Male,2,45000
Female,1,32000
Male,12,120000
Female,4,65000
Male,8,95000
Female,5,80000
Female,3,38000
Male,10,110000
Female,2,45000
Male,7,89000
Male,1,32000
Female,5,70000
Male,15,150000
Female,1,40000
Female,9,105000
Male,4,65000
Female,14,140000
Male,3,50000
Female,2,35000
Male,11,115000
Female,5,70000
Male,6,80000
Female,1,30000
Male,13,135000
Female,1,40000
Male,10,105000
Male,2,35000
Female,12,120000
Male,3,55000
Female,2,45000
Male,14,140000
Female,3,55000
Male,11,115000
Female,4,70000
Male,3,38000
Female,13,135000
Male,2,45000
Female,7,85000
Male,1,32000
Female,15,150000
Male,4,65000
Female,1,32000
Male,12,120000
Female,1,40000
Male,9,95000
Male,2,35000
Female,14,140000
Male,3,55000
Female,6,80000
Male,13,135000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Female,1,40000
Male,10,105000
Male,2,35000
Female,13,135000
Male,4,65000
Female,6,80000
Male,14,140000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Female,1,40000
Male,10,105000
Male,2,35000
Female,13,135000
Male,4,65000
Female,6,80000
Male,14,140000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Female,1,40000
Male,10,105000
Male,2,35000
Female,13,135000
Male,4,65000
Female,6,80000
Male,14,140000
Female,2,45000
Male,8,95000
Female,1,32000
Male,5,70000
Female,12,120000
Male,4,70000
Female,7,85000
Male,2,33000
Female,15,150000
Male,3,50000
Female,1,32000
Male,11,115000
Male,3,60000
Female,9,100000
Male,15,150000
Female,4,55000
Male,1,30000
Female,5,70000
Male,8,90000
Female,2,40000
Male,12,130000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Male,3,60000
Female,9,100000
Male,15,150000
Female,4,55000
Male,1,30000
Female,5,70000
Male,8,90000
Female,2,40000
Male,12,130000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Female,8,85000
Male,5,70000
Female,3,50000
Male,13,140000
Female,6,75000
Male,2,35000
Female,10,110000
Male,4,65000
Male,18,180000
Female,1,35000
Female,11,120000
Male,6,75000
Female,1,30000
Male,16,160000
Male,3,60000
Male,2,55000
Female,7,90000
Male,16,160000
Female,4,60000
Male,1,25000
Female,5,70000
Male,8,100000
Female,3,45000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Female,9,100000
Male,6,75000
Female,3,50000
Male,14,140000
Female,6,75000
Male,2,30000
Female,11,120000
Male,4,65000
Male,19,190000
Female,1,35000
Female,12,130000
Male,7,85000
Female,1,25000
Male,15,150000
Male,3,60000
Male,5,80000
Female,3,60000
Male,12,130000
Female,2,45000
Male,1,25000
Female,7,90000
Male,18,170000
Female,2,40000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Female,11,120000
Male,6,90000
Female,2,45000
Male,15,150000
Female,8,95000
Male,1,25000
Female,10,110000
Male,4,70000
Male,22,220000
Female,2,35000
Female,13,140000
Male,9,110000
Female,1,25000
Male,16,160000
Male,5,80000
Male,6,85000
Female,4,62000
Male,13,138000
Female,2,47000
Male,1,26000
Female,8,95000
Male,19,174000
Female,2,41000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,12,122000
Male,7,96000
Female,3,49000
Male,16,162000
Female,9,99000
Male,1,26000
Female,11,117000
Male,5,75000
Male,23,225000
Female,2,36000
Female,14,146000
Male,10,113000
Female,1,26000
Male,17,168000
Male,6,85000
Female,8,95000
Male,18,180000
Female,2,41000
Male,1,26000
Female,5,68000
Male,13,127000
Female,2,47000
Male,15,155000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,8,101000
Female,3,49000
Male,18,182000
Female,8,92000
Male,1,26000
Female,12,125000
Male,4,71000
Male,24,240000
Female,2,36000
Female,15,152000
Male,11,119000
Female,1,26000
Male,19,190000
Male,6,85000
Female,13,131000
Male,3,62000
Female,16,137000
Male,9,112000
Female,2,45000
Male,1,25000
Female,7,91000
Male,17,179000
Female,5,74000
Male,23,228000
Female,2,37000
Female,19,193000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Male,8,104000
Female,1,25000
Male,20,204000
Female,2,37000
Female,18,183000
Male,11,119000
Female,1,25000
Male,20,204000
Female,3,61000
Male,15,157000
Female,8,92000
Male,1,52000
Female,4,58000
Male,22,219000
Female,6,77000
Female,6,95000
Male,2,45000
Female,4,70000
Male,10,110000
Female,1,35000
Male,5,60000
Female,2,50000
Male,12,120000
Female,1,32000
Male,4,65000
Female,1,35000
Male,14,130000
Female,9,95000
Male,2,43000
Female,4,50000
Male,3,60000
Female,8,80000
Male,2,48000
Female,13,125000
Male,7,85000
Female,2,42000
Male,4,70000
Female,1,32000
Male,6,80000
Female,2,42000
Male,7,90000
Female,4,65000
Male,1,40000
Female,12,110000
Male,10,105000
Female,3,50000
Male,8,95000
Female,3,60000
Male,2,40000
Female,2,55000
Male,5,70000
Female,1,32000
Male,7,90000
Female,2,50000
Male,10,110000
Female,1,32000
Male,6,80000
Female,4,70000
Male,2,45000
Female,7,65000
Male,2,50000
Female,3,45000
Male,9,95000
Female,4,65000
Male,2,38000
Female,13,125000
Male,8,90000
Female,2,43000
Male,5,60000
Female,3,60000
Male,10,110000
Female,1,35000
Male,6,95000
Female,2,42000
Male,11,100000
Female,1,32000
Male,4,65000
Female,2,42000
Male,14,130000
Female,9,95000
Male,2,43000
Female,4,50000
Male,3,60000
Female,8,80000
Male,2,48000
Female,13,125000
Male,7,85000
Female,2,42000
Male,4,70000
Female,1,32000
Male,6,80000
Female,2,42000
Male,7,90000
Female,4,65000
Male,1,40000
Female,12,110000
Male,10,105000
Female,3,50000
Male,8,95000
Female,3,60000
Male,2,40000
Female,2,55000
Male,5,70000
Female,1,32000
Male,7,90000
Female,2,50000
Male,10,110000
Female,1,32000
Male,6,80000
Female,4,70000
Male,2,45000
Female,7,65000
Male,2,50000
Female,3,45000
Male,9,95000
Female,4,65000
Male,2,38000
Female,13,125000
Male,8,90000
Female,2,43000
Male,5,60000
Female,3,60000
Male,10,110000
Female,1,35000
Male,6,95000
Female,2,42000
Male,11,100000
Female,1,32000
Male,4,65000
Female,2,42000
Male,14,130000
Female,9,95000
Male,2,43000
Female,4,500
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Male,8,120000
Female,3,55000
Male,5,70000
Female,12,140000
Male,1,30000
Female,7,100000
Male,2,50000
Female,3,55000
Male,10,130000
Female,1,45000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,9,125000
Female,4,57000
Male,6,72000
Female,13,145000
Male,2,31000
Female,8,105000
Male,3,52000
Female,4,57000
Male,11,135000
Female,2,48000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Female,0,25000
Male,21,250000
Female,8,120000
Male,4,80000
Male,6,100000
Female,12,170000
Male,3,50000
Female,9,140000
Male,7,120000
Female,2,55000
Male,5,85000
Female,4,80000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Female,3,65000
Male,7,120000
Female,6,105000
Male,5,85000
Female,7,110000
Male,12,170000
Male,9,140000
Female,1,30000
Male,6,95000
Female,4,80000
Male,10,155000
Female,0,25000
Male,11,160000
Male,1,60000
Female,12,150000
Male,4,80000
Female,8,120000
Male,10,130000
Female,2,50000
Male,18,180000
Female,3,60000
Male,7,110000
Female,0,25000
Male,6,100000
Female,3,55000
Male,9,140000
Female,0,25000
Male,12,150000
Female,14,170000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,60000
Female,12,150000
Male,4,80000
Female,8,120000
Male,10,130000
Female,2,50000
Male,18,180000
Female,3,60000
Male,7,110000
Female,0,25000
Male,6,100000
Female,3,55000
Male,9,140000
Female,0,25000
Male,12,150000
Female,14,170000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,60000
Female,12,150000
Male,4,80000
Female,8,120000
Male,10,130000
Female,2,50000
Male,18,180000
Female,3,60000
Male,7,110000
Female,0,25000
Male,6,100000
Female,3,55000
Male,9,140000
Female,0,25000
Male,12,150000
Female,14,170000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,60000
Female,12,150000
Male,4,80000
Female,8,120000
Male,10,130000
Female,2,50000
Male,18,180000
Female,3,60000
Male,7,110000
Female,0,25000
Male,6,100000
Female,3,55000
Male,9,140000
Female,0,25000
Male,12,150000
Female,14,170000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,55000
Female,4,65000
Male,3,60000
Female,10,150000
Male,2,50000
Female,7,120000
Male,1,60000
Female,12,150000
Male,4,80000
Female,8,120000
Male,10,130000
Female,2,50000
Male,18,180000
Female,3,60000
Male,7,110000
Female,0,25000
Male,6,100000
Male,3,85000
Female,11,160000
Male,1,55000
Female,5,100000
Male,8,120000
Female,2,50000
Male,19,185000
Female,4,65000
Male,9,130000
Female,0,25000
